text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
What features does ZENDOffice Net 500 offer?,Information Query,Neutral,India,Home & Office Internet,ZENDOffice Net 500,Individual,Enterprise,58.62,3
I am facing issues with ZENDEnterprise Ultra.,Technical Support,Neutral,Thailand,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,403.76,3
Need details about Prepaid Plus 20GB.,Information Query,Happy,Singapore,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Priority,45.1,5
Requesting refund for ZENDStorage 10TB.,Refund,Angry,USA,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Enterprise,61.49,1
I am not happy with my ZENDEnterprise Ultra service.,Complaint,Angry,India,Business Connectivity,ZENDEnterprise Ultra,Individual,Enterprise,186.59,1
I want a refund for ZENDCloud VM Enterprise subscription.,Refund,Happy,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,299.02,5
How do I stop ZENDOffice Net 1G service?,Cancellation,Satisfied,Thailand,Home & Office Internet,ZENDOffice Net 1G,Individual,Enterprise,39.44,4
Please terminate my ZENDCloud VM Enterprise plan.,Cancellation,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,222.36,1
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Happy,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,50.93,5
I was charged $X instead of $Y for ZENDSmart Lighting.,Billing,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Priority,53.23,1
Can I upgrade from Postpaid Platinum Unlimited to a higher plan?,Plan Upgrade,Neutral,India,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Priority,94.73,3
I want to cancel my ZENDFleet IoT subscription.,Cancellation,Happy,Thailand,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,361.73,5
My ZENDFiber Home 100 Mbps is not working properly.,Technical Support,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Priority,52.87,3
Please terminate my ZENDIndustrial Sensor plan.,Cancellation,Angry,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,181.64,1
My ZENDSmart Parking is not working properly.,Technical Support,Happy,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Priority,158.05,5
I am facing issues with Prepaid Unlimited.,Technical Support,Happy,Thailand,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,122.48,5
How much does ZENDStorage 10TB cost in my country?,Information Query,Neutral,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Priority,212.66,3
I was charged $X instead of $Y for ZENDBiz Connect 1G.,Billing,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,392.12,4
What are the costs to move from ZENDSmart Traffic to premium?,Plan Upgrade,Angry,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,153.19,1
How do I stop ZENDFiber Home 1 Gbps service?,Cancellation,Happy,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Enterprise,31.24,5
I want a refund for ZENDStorage 10TB subscription.,Refund,Neutral,USA,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Enterprise,288.43,3
My ZENDFiber Home 1 Gbps is not working properly.,Technical Support,Satisfied,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Enterprise,150.81,4
I want to upgrade my ZENDSmart Parking plan.,Plan Upgrade,Neutral,India,IoT & Smart Solutions,ZENDSmart Parking,Individual,Enterprise,115.58,3
My Prepaid Plus 20GB is not working properly.,Technical Support,Neutral,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,29.29,3
Need help fixing my ZENDFiber Home 100 Mbps service.,Technical Support,Neutral,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,52.23,3
I am facing issues with ZENDFiber Home 300 Mbps.,Technical Support,Neutral,USA,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,141.61,3
I want to upgrade my ZENDEnterprise Ultra plan.,Plan Upgrade,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Enterprise,122.62,4
I am facing issues with ZENDOffice Net 1G.,Technical Support,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Enterprise,180.24,4
Frustrated with Postpaid Gold 100GB connection.,Complaint,Happy,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,27.44,5
What are the costs to move from ZENDCloud VM Basic to premium?,Plan Upgrade,Angry,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,84.98,1
I am not happy with my ZENDCloud VM Enterprise service.,Complaint,Satisfied,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,177.8,4
How much does ZENDArchive Storage cost in my country?,Information Query,Neutral,USA,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,224.12,3
What features does Postpaid Gold 100GB offer?,Information Query,Satisfied,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Standard,34.05,4
My billing amount for ZENDBiz Connect 1G seems incorrect.,Billing,Neutral,USA,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Enterprise,64.5,3
Need help fixing my ZENDBiz Connect 100 service.,Technical Support,Happy,Thailand,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,398.32,5
Please terminate my ZENDEnterprise Ultra plan.,Cancellation,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Enterprise,493.04,4
I was charged $X instead of $Y for ZENDStorage 1TB.,Billing,Satisfied,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Priority,109.89,4
I want to upgrade my ZENDBiz Connect 1G plan.,Plan Upgrade,Satisfied,India,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,129.89,4
Complaint regarding ZENDCloud VM Basic.,Complaint,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Priority,88.27,3
How do I claim a refund if I used less than 10% of ZENDEnterprise Dedicated?,Refund,Angry,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,143.48,1
Please terminate my ZENDCloud VM Pro plan.,Cancellation,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,224.91,1
My billing amount for Postpaid Silver 50GB seems incorrect.,Billing,Happy,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Standard,57.04,5
How much does ZENDBiz Connect 1G cost in my country?,Information Query,Satisfied,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,102.68,4
Can you send me my last 2 invoices for ZENDFiber Home 100 Mbps?,Billing,Satisfied,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Enterprise,152.32,4
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Happy,India,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,489.36,5
I am not happy with my Postpaid Gold 100GB service.,Complaint,Happy,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,48.23,5
Please terminate my Prepaid Basic 5GB plan.,Cancellation,Angry,India,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Priority,25.95,1
Please terminate my ZENDArchive Storage plan.,Cancellation,Neutral,USA,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,228.55,3
What features does Prepaid Basic 5GB offer?,Information Query,Angry,USA,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Enterprise,49.14,1
Can I upgrade from ZENDFiber Home 1 Gbps to a higher plan?,Plan Upgrade,Happy,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Enterprise,167.4,5
I am not happy with my Prepaid Plus 20GB service.,Complaint,Satisfied,India,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,90.38,4
Need help fixing my Postpaid Platinum Unlimited service.,Technical Support,Satisfied,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,34.84,4
Need details about ZENDBiz Connect 500.,Information Query,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Individual,Standard,368.06,1
What features does ZENDOffice Net 200 offer?,Information Query,Satisfied,Thailand,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,84.22,4
I am facing issues with ZENDEnterprise Dedicated.,Technical Support,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Enterprise,269.67,4
Can I upgrade from Postpaid Platinum Unlimited to a higher plan?,Plan Upgrade,Satisfied,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,58.8,4
Can you send me my last 2 invoices for ZENDSmart Parking?,Billing,Happy,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Individual,Priority,73.39,5
Frustrated with ZENDFleet IoT connection.,Complaint,Neutral,India,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,361.37,3
I want a refund for ZENDOffice Net 1G subscription.,Refund,Happy,USA,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,141.52,5
I was charged $X instead of $Y for ZENDSmart Parking.,Billing,Neutral,India,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Priority,140.56,3
Can I upgrade from ZENDBiz Connect 100 to a higher plan?,Plan Upgrade,Happy,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,411.96,5
My billing amount for ZENDBiz Connect 100 seems incorrect.,Billing,Happy,India,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,379.41,5
Can I upgrade from ZENDArchive Storage to a higher plan?,Plan Upgrade,Angry,India,Cloud & Data Center Services,ZENDArchive Storage,Individual,Priority,121.66,1
Can I upgrade from ZENDFiber Home 1 Gbps to a higher plan?,Plan Upgrade,Angry,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Priority,100.1,1
Can I upgrade from Postpaid Gold 100GB to a higher plan?,Plan Upgrade,Angry,India,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Priority,21.01,1
Need help fixing my Prepaid Plus 20GB service.,Technical Support,Happy,USA,Mobile Connectivity,Prepaid Plus 20GB,Individual,Standard,57.84,5
I was charged $X instead of $Y for ZENDBiz Connect 1G.,Billing,Angry,USA,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Enterprise,87.28,1
I am not happy with my ZENDEnterprise Ultra service.,Complaint,Neutral,India,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,171.04,3
How do I claim a refund if I used less than 10% of ZENDOffice Net 200?,Refund,Satisfied,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Enterprise,145.57,4
Need help fixing my ZENDSmart Traffic service.,Technical Support,Happy,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,388.48,5
My billing amount for ZENDSmart Lighting seems incorrect.,Billing,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Standard,281.85,3
I was charged $X instead of $Y for ZENDCloud VM Basic.,Billing,Satisfied,Singapore,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,172.47,4
Can I upgrade from ZENDStorage 10TB to a higher plan?,Plan Upgrade,Angry,India,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,29.49,1
Requesting refund for Postpaid Platinum Unlimited.,Refund,Neutral,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,33.1,3
Requesting refund for ZENDStorage 1TB.,Refund,Happy,India,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Enterprise,298.04,5
Complaint regarding ZENDIndustrial Sensor.,Complaint,Angry,USA,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Enterprise,140.39,1
I want a refund for Prepaid Basic 5GB subscription.,Refund,Angry,USA,Mobile Connectivity,Prepaid Basic 5GB,Individual,Standard,32.26,1
Please terminate my ZENDFleet IoT plan.,Cancellation,Angry,USA,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,141.41,1
I want to upgrade my Prepaid Unlimited plan.,Plan Upgrade,Happy,USA,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,114.45,5
My billing amount for ZENDCloud VM Enterprise seems incorrect.,Billing,Satisfied,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Enterprise,186.93,4
I want to upgrade my ZENDOffice Net 1G plan.,Plan Upgrade,Happy,Singapore,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Enterprise,130.48,5
What features does ZENDArchive Storage offer?,Information Query,Satisfied,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,181.08,4
How do I claim a refund if I used less than 10% of ZENDSmart Parking?,Refund,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Priority,221.05,4
My billing amount for ZENDEnterprise Dedicated seems incorrect.,Billing,Angry,USA,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Enterprise,402.26,1
Requesting refund for ZENDStorage 10TB.,Refund,Happy,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,247.32,5
I want a refund for ZENDArchive Storage subscription.,Refund,Neutral,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,188.4,3
Can I upgrade from ZENDOffice Net 500 to a higher plan?,Plan Upgrade,Angry,Singapore,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,82.75,1
Please terminate my Postpaid Gold 100GB plan.,Cancellation,Happy,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Standard,23.76,5
My billing amount for ZENDIndustrial Sensor seems incorrect.,Billing,Happy,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,267.95,5
Can I upgrade from ZENDArchive Storage to a higher plan?,Plan Upgrade,Neutral,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,285.32,3
Complaint regarding Postpaid Silver 50GB.,Complaint,Neutral,USA,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Priority,26.69,3
My Prepaid Plus 20GB is not working properly.,Technical Support,Neutral,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Enterprise,149.37,3
Can you send me my last 2 invoices for ZENDIndustrial Sensor?,Billing,Satisfied,USA,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,113.76,4
I want a refund for ZENDStorage 1TB subscription.,Refund,Angry,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Enterprise,138.93,1
Can I upgrade from ZENDEnterprise Dedicated to a higher plan?,Plan Upgrade,Neutral,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,219.97,3
Please terminate my ZENDOffice Net 500 plan.,Cancellation,Angry,USA,Home & Office Internet,ZENDOffice Net 500,Enterprise,Priority,178.09,1
I want to upgrade my ZENDBiz Connect 1G plan.,Plan Upgrade,Satisfied,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,405.55,4
My ZENDFiber Home 100 Mbps is not working properly.,Technical Support,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Enterprise,57.28,3
I am facing issues with ZENDEnterprise Ultra.,Technical Support,Happy,India,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,116.95,5
I was charged $X instead of $Y for ZENDSmart Parking.,Billing,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Individual,Standard,128.26,4
My billing amount for ZENDArchive Storage seems incorrect.,Billing,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Priority,261.64,5
What are the costs to move from ZENDArchive Storage to premium?,Plan Upgrade,Angry,USA,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,263.52,1
Need help fixing my Prepaid Unlimited service.,Technical Support,Angry,Thailand,Mobile Connectivity,Prepaid Unlimited,Individual,Standard,86.48,1
I am not happy with my ZENDOffice Net 500 service.,Complaint,Angry,India,Home & Office Internet,ZENDOffice Net 500,Enterprise,Standard,38.99,1
How much does ZENDFleet IoT cost in my country?,Information Query,Angry,Thailand,IoT & Smart Solutions,ZENDFleet IoT,Individual,Priority,349.36,1
I want to upgrade my ZENDOffice Net 200 plan.,Plan Upgrade,Satisfied,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Standard,191.44,4
I want a refund for ZENDBiz Connect 100 subscription.,Refund,Happy,Thailand,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,428.85,5
Complaint regarding ZENDStorage 10TB.,Complaint,Angry,Singapore,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Standard,157.1,1
Complaint regarding ZENDFiber Home 1 Gbps.,Complaint,Neutral,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Enterprise,156.58,3
What features does ZENDStorage 1TB offer?,Information Query,Happy,USA,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,43.34,5
How much does ZENDSmart Traffic cost in my country?,Information Query,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,327.79,3
Frustrated with ZENDOffice Net 1G connection.,Complaint,Angry,USA,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Priority,126.68,1
I want to cancel my Prepaid Unlimited subscription.,Cancellation,Happy,India,Mobile Connectivity,Prepaid Unlimited,Individual,Standard,95.54,5
What features does ZENDCloud VM Enterprise offer?,Information Query,Satisfied,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Standard,95.71,4
I want to upgrade my ZENDSmart Traffic plan.,Plan Upgrade,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,309.9,3
I was charged $X instead of $Y for ZENDEnterprise Ultra.,Billing,Happy,Singapore,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,106.02,5
I was charged $X instead of $Y for ZENDCloud VM Enterprise.,Billing,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Enterprise,39.58,1
